	erytrocyty	trombocyty	weight	name	hbver	ssn	relationship	er-cv	smoker	indicator	hematokrit	leukocyty	alp	hemoglobin	ast	alt	etytr
0	5.75358	6.28829	72.99562	Ashley Mejia	7.83739	825-87-2350	separated	69.02328	N	0.00000	6.68084	7.69536	76.74660	6.82079	61.73234	0.70514	4.81412
1	5.14673	7.42473	27.01891	Nicholas Cunningham	4.93689	180-95-1359	divoced	48.89584	N	1.00000	6.67915	7.92839	17.17255	8.83229	78.07931	0.70497	5.96530
2	8.85321	6.19191	85.97257	Amy Pineda	7.81238	265-20-0465	nop	61.76278	no	0.00000	8.37365	7.08646	9.29056	9.58719	74.48225	3.77250	7.79349
3	8.08038	6.66572	80.02693	Elizabeth Higgins	6.91584	075-09-7694	separated	44.51141	no	0.00000	6.65188	8.49326	86.51256	5.78670	79.12359	2.39353	6.74682
4	8.91498	6.56509	119.48958	Andrew Ochoa	4.45796	850-79-7623	separated	42.06448	no	1.00000	5.07778	5.72269	43.22939	7.71585	81.58218	4.34586	5.84598
5	8.51295	8.80093	103.92141	Andrew Newman	8.51896	530-15-4927	divoced	82.71195	Y	1.00000	8.32409	5.90403	46.98400	7.82184	82.24576	3.13205	5.74994
6	4.76939	5.28807	128.53391	Russell Hernandez	6.53632	056-58-8043	divoced	67.28693	no	1.00000	6.38905	8.97379	71.74900	7.25352	64.51395	1.49027	7.97310
7	4.91598		129.90443	Lisa Black	8.20573	523-88-2981	single	72.60209	Y	1.00000	7.27744	2.75216	81.06873	6.54066	70.75401	0.99492	4.60324
8	9.05637	6.91298	50.98764	Carol Williams	7.41468	717-79-4351	single	42.42329	Y	0.00000	6.46902	9.34576	70.89825	7.36204	73.47067	5.19112	7.16910
9	10.04808	7.25561	92.81198	Reginald Cline	6.74376	830-56-8509	single	60.20276	no	1.00000	8.40521	5.66400	48.66179	7.87353	80.07970	11.91627	5.52770
10	5.69254	6.64690	50.79834	Lindsay Jordan	8.27227	291-41-6418	married	50.06733	no	0.00000	7.65056	7.88138	73.53700	7.04081	72.86513	1.01619	5.72381
11	10.94065	7.23422	77.03049	Ryan Barnes	6.16220	801-93-8866	married	63.49382	no	1.00000	5.40109	7.94452	43.14539	4.58957	62.41734	28.07411	6.67468
12	8.59970	4.60261	89.63966	Luis Myers	7.03039	051-47-6308	divoced	68.09476	no	0.00000	7.03580	7.68879	89.09691	6.10671	72.22696	3.43949	7.49564
13	7.17714	7.33702	22.36197	Bryan Ryan	5.31422	241-29-8766	divoced	55.31553	Y	1.00000	6.85264	6.97393	46.42275	7.76824	74.98572	1.19996	6.47729
14	5.56490	6.34259	10.91243	Christine Mccoy	5.86616	825-51-3470	divoced	38.73109	yes	1.00000	4.93792	7.66362	33.17961	8.19727	64.95579	0.92636	8.21878
15	6.55056	6.03565	102.97463	Ashley Franklin	7.44129	390-73-8628	divoced	59.89910	no	1.00000	7.26404	8.95723	80.01600	6.73437	68.16699		7.45978
16	7.50816	6.41489	60.44959	Dustin Austin	8.03867	320-41-3205	separated	53.00711	yes	0.00000	8.79405	7.52075	70.41471	7.44146	74.62670	2.13895	7.79279
17	5.14888	5.94047	66.85361	John Green	2.67713	159-67-4225	widowed	54.57077	no	1.00000	6.98839	5.92144	71.53706	5.37008	68.55763	0.54310	7.28695
18	6.66122	8.04740	148.47638	Cathy Black	5.51775	516-56-2318	divoced	49.23977	N	1.00000	7.50835	7.66150	91.23849	6.54857	67.16201	1.04148	8.61461
19	6.09154	7.22403	72.69042	Michael Olsen	4.32940	061-28-1518	separated	30.62982	no	1.00000	6.21951	7.90874	86.02690	6.26683	60.13502	1.19424	8.67437
20	10.15914	6.77827	37.22411	Shawn Sanchez	10.04386	297-92-7434	nop	47.42453	no	0.00000	5.99105	8.67986	94.74370	6.31889	76.51409	13.27756	10.29342
