	sex	blood_group	job	residence	birthdate	ssn	current_location	race	name
0	M	B-	Legal executive	"528 Allen Streets
Solomonberg, NM 26158"	05/28/1941, 00:00:00	359-18-7254	(Decimal('29.4768335'), Decimal('-42.485892'))	White	John Fletcher
1	F	B+	Oceanographer	"360 Rebecca Islands Suite 046
East Yolandaview, SC 57616"	1992-08-29	476-75-8468	(Decimal('-80.467120'), Decimal('-106.725872'))	White	Alexis Benjamin
2	F	AB+	Academic librarian	"146 Ball Radial Suite 394
East Mark, AL 82880"	12/16/1978, 00:00:00	425-66-2119	(Decimal('-54.963860'), Decimal('-43.530569'))	Indian	Heather Lee
3	F	AB+	Editor, magazine features	"67264 Patterson Plains Apt. 319
Kennethshire, AK 06909"	07 Apr 1921	869-12-0117	(Decimal('-79.5156495'), Decimal('8.453819'))	Black	Laura Roman
4	F	O+	Secretary/administrator	"0975 Allen Manor
South Davidville, NJ 88311"	1998-12-07	296-87-0260	(Decimal('49.395910'), Decimal('-15.478698'))	Asian	Miss Phyllis Oconnor
5	F	AB-	Copywriter, advertising	"15781 Sanchez Grove Suite 036
North Elizabethmouth, NY 71178"	20 Jul 1913	728-68-4297	(Decimal('7.2070875'), Decimal('159.652853'))	black	Brooke Harris
6	M	B+	Seismic interpreter	"927 Tanner Burg
South Stacey, MA 14215"	16 May 1970	072-63-6491	(Decimal('-76.634035'), Decimal('-11.414505'))	White	Joshua Cannon
7	F	O+	Trade union research officer	"320 Linda Greens Suite 724
Christineport, FL 91564"	2013/03/10	283-22-6121	(Decimal('58.061886'), Decimal('114.159444'))	Black	Michelle Garcia
8	F	O+	Communications engineer	"987 Scott Shoal Apt. 865
North Tiffany, WI 19775"	08 Jan 1913	669-77-8156	(Decimal('-30.7820505'), Decimal('-141.958435'))	White	Holly Phillips
9	F	AB-	Therapeutic radiographer	"76124 Saunders Harbor Apt. 269
South Kimberlyton, NJ 02919"	1917/12/16	363-14-1205	(Decimal('-48.039723'), Decimal('66.291246'))	White	Samantha Travis
10	F	AB-	Furniture designer	"83397 Grant Village Suite 879
West David, SC 33303"	11/27/1905, 00:00:00	149-06-0592	(Decimal('40.663948'), Decimal('-34.160850'))	White	Ana Hughes
11	M	O+	Manufacturing engineer	"4716 Kristina Falls Suite 519
Davidmouth, MA 25661"	1946/03/28	512-14-8397	(Decimal('-79.8262775'), Decimal('53.954260'))	Black	Brandon Cortez
12	M	O+	Public librarian	"028 Amber Lock Suite 883
Jonesberg, WA 75489"	26 Apr 1960	378-49-1397	(Decimal('73.076928'), Decimal('-16.126935'))	Black	Edwin Richards
13	M	AB-	Community development worker	"9267 William Roads Suite 275
Erinmouth, KY 76366"	1989/11/01	293-26-8911	(Decimal('54.0645935'), Decimal('122.711541'))	Black	Richard Parks
14	M	AB+	Surveyor, building	"90839 Peter Fields
West April, AR 14955"	2008-02-17	007-56-8063	(Decimal('-45.5815845'), Decimal('-115.663828'))	White	Joseph King
15	M	AB-	Archaeologist	"4393 Watts Highway Suite 133
Williamsmouth, SD 94070"	1958-11-09	503-81-1243	(Decimal('-50.985370'), Decimal('20.378733'))	Asian	James Ewing
16	F	A-	Human resources officer	"5393 Riley Valleys
Lucasland, AL 19104"	1935-04-11	137-71-9826	(Decimal('-86.0686935'), Decimal('150.541092'))	White	Jill Rivera
17	F	B-	Broadcast journalist	"8505 Horton Mall
New David, TX 66125"	1912/05/31	543-99-0131	(Decimal('-67.756854'), Decimal('59.459642'))	Hawaiian	Ruth Parks
18	M	AB+	Camera operator	"38126 Joseph Port
Port Allison, MI 57378"	1951-04-24	157-75-4197	(Decimal('29.917387'), Decimal('124.572591'))	Indian	Cole Coleman
